Coalition,Pride,Lon,Lat,You_post
Northern Avoca,Talamati,-24.710772458126563, 31.530888425122317,https://www.youtube.com/embed/YmDW6aGXa2A
Red Road,Nharu,-24.62684727329454, 31.498749631175956,https://www.youtube.com/embed/YmDW6aGXa2A
Northern Avoca,Nkuhuma,-24.79213371816779, 31.537971293441696,https://www.youtube.com/embed/odeC7ueBrCQ?start=360

